chromosome	position 1	position 2	2.R2	1.R1	2.R1	1.R2	3.R2	3.R1	1.R3
Y	11919	16166	406	1592	697	513	781	1282	411
Z	15344	18632				1165			378
W	4247	8083	364	753		368	588	669	525
Y	19454	15207	315	1293	672	451	666	1219	476
Z	7809	15070				1051			375
Z	685	8357				1367			447
Z	8494	15481				1639			482
Z	685	8083				1284			503
Z	7946	21098				606			286
Z	12878	26441				767			283
Y	12604	20687	385	913	829	474	694	1185	459
Z	20002	26578				1131			264
W	2055	6439	377	600		402	622	581	665
Y	18084	17262	316	1085	608	315	609	901	331
Z	10412	26030				854			305
Z	15755	25071				1298			463
X	4247	11097	520	797			1197	1217	1282
Z	2329	8083				1793			539
Z	1370	11782				988			350
Y	6439	16440	256	1040	743	417	624	903	438
Z	15481	16988				1616			766
Z	10138	19454				989			377
Z	26441	26578				1597			547
Z	9727	23564				790			309
Y	6165	17810	214	810	454	380	504	926	314
X	5617	11234	585	739			1162	1343	1631
X	1370	11097	510	595			742	627	1020
Y	6302	11234	467	2105	806	554	1034	1448	513
Y	1096	7672	305	1330	605	423	652	1277	361
W	0	8905	85	197		102	195	156	180
Y	21235	19043	356	1451	787	570	805	1354	485
Z	20276	25071				1171			280
Y	14385	19180	417	1149	742	492	754	1169	506
X	4384	10960	641	891			1190	1174	1601
X	822	14659	228	245			702	388	354
X	1096	4384	623	1012			1406	1484	1503
X	11371	11919	833	1171			1559	1434	1850
Z	11097	20824				904			357
X	0	13289	168	207			227	308	271
Z	7672	8220				1602			563
Y	5891	14111	372	1835	714	440	825	1428	464
Z	7124	26578				704			193
Z	7672	16303				1463			563
X	685	8357	287	369			539	614	611
Z	9453	11645				1655			528
Y	11645	18221	205	1103	427	358	608	887	308
Z	7946	18769				724			225
Y	5343	18495	191	941	374	300	431	816	283
X	1507	14522	232	570			496	442	528
Z	8631	17536				1214			458
Y	4110	9453	337	1390	590	412	793	1177	356
Y	2466	16577	193	696	429	265	478		225
X	6302	8494	743	911			1420	1625	1565
Z	4247	13289				1226			413
Z	3425	24660				499			116
Z	822	15070				961			287
Y	21235	15892	387	1636	774	514	774	1245	583
Z	137	3425				1286			527
Y	8494	17536	183	964	583	317	478	776	321
Y	6987	16303	300	1141	698	412	746	1123	388
Y	4658	18084	221	816	369	249	379	806	282
X	1781	6165	721	632			1153	1002	1237
Y	6850	15892	374	1342	571	530	758	1355	476
X	8494	10823	604	756			1190	1236	1458
Y	13700	16029	333	1373	783	447	615	1295	369
Z	11919	25619				912			304
Z	4384	4521				1947			622
Z	4658	11371				1608			477
Y	12604	21646	260	930	675	360	497	688	309
Z	4932	15344				1006			371
X	548	7261	487	797			1006	880	975
W	2740	8768	206	384		210	269	293	304
Y	1370	7946	340	1054	676	550	715	1161	376
W	8494	9179	445	758		391	729	623	689
Z	26030	26304				1469			361
X	3288	12467	404	414			548	564	606
Y	8631	15755	351	1360	515	443	746	1459	468
Z	6987	12330				1412			420
Y	9590	13837	342	1392	740	410	822	1531	473
X	6439	7398	866	1057			1400	1720	1608
Y	21509	19865		1406	949	555	934	1780	521
Z	14111	18358				1573			523
X	2329	6576	551	657			1021	1010	1157
Y	13015	21235	346	1206	576	333	630	1054	421
Y	8905	18495	258	777	488	287	538	700	295
Y	3836	8220	414	1417	777	537	825	1256	576
W	2740	3425	456	790		429	829	773	775
W	1507	2603	374	716		480	566	746	763
X	3562	13015	359	385			595	546	661
Y	1644	15755	186	740	357	279	431	664	318
Z	9727	15618				1252			378
X	6165	14659	479	654			693	791	709
Z	5891	26578				428			106
Z	17125	26989				940			337
Z	10686	22057				915			369
X	8083	11097	743	595			1181	1121	975
Z	15755	26030				1263			331
Z	21372	23564				960			400
Y	21235	16029	361	1485	885	527	907	1381	435
Z	685	4521				1540			386
W	5617	7809	446	765		463	642	750	763
Z	959	19865				542			169
Z	6439	26441				442			137
Z	5206	8494				1193			390
Y	10549	13015	395	1663	827	496	872	1525	452
Z	16714	22879				1196			400
Z	13289	17399				1478			496
X	10549	11508	843	946			1754	1477	1757
Y	2466	21646	84	380	173	149	300	334	110
X	0	12193	331	341			499	528	590
X	13837	15755	459	589			904	891	1062
Y	9042	20824	331	1071	588	426	678	944	503
Z	6987	19728				694			195
Z	5891	10549				1422			556
Y	822	6165	438	1622	751	512	802	1469	505
Y	4658	17673	216	599	324	271	392	610	266
Z	13152	22194				990			332
X	6165	12467	494	536			1254	783	1194
Y	7124	13152	318	1271	785	459	622	1665	489
Z	17262	22057				1306			415
Y	3151	19180	133	537	212	133	234	443	172
Y	6302	9727	513	2095	1143	715	923	2318	648
X	4110	15892	410	370			677	534	560
Y	13837	17810	381	1241	592	472	739	1194	412
Y	7398	17399	321	928	541	362	629	1082	355
Y	4795	17262	147	584	292	207	279	496	197
Y	5343	19591	232	958	501	319	539	828	337
Z	1781	2192				1956			870
Z	1781	5343				1468			521
Z	1507	5343				1151			472
Z	7398	16988				1085			388
X	5754	8494	853	936			1279	1676	1563
W	4521	7535	366	941		462	627	717	608
Y	1096	9590	255	775	475	383	566	986	316
Y	6439	21098	222	1345	566	274	564	1154	330
Z	13974	23564				910			431
Y	959	10001	238	838	436	314	566	680	329
X	8768	14111	523	573			742	786	1146
X	5069	8631	695	925			1578	1531	1492
Y	0	3014		1312	636	446	617	995	420
X	1781	11097	267	560			634	765	797
Z	14522	21920				1568			502
Z	6302	27126				422			137
Z	0	2740				1616			547
Z	548	8905				983			462
Z	4521	18906				867			303
X	10412	10549	951	1118			1560	1620	1965
W	3562	4110	787	1509		719	979	1134	1052
X	0	2192	479	645			727	753	923
Z	1781	5069				1517			532
Y	18495	18221	345	1208	765	492	844	1482	548
Y	1096	2603	319	1135	772	508	829	1170	407
Y	822	19865		502	191	170	343	424	161
Y	3699	10549	282	936	524	411	643	940	343
W	1233	6576	299	531		409	510	637	492
Z	3425	5343				1743			657
Y	21372	17125	338	1212	656	396	831	1258	464
Z	5891	12741				1147			323
Y	4658	16714	149	565	261	215	324	555	187
Z	13015	22879				1081			277
Y	3973	9727	252	1332	617	327	598	1023	382
Z	14933	17810				1853			537
Z	12604	20276				894			346
Z	13152	13289				1447			537
Z	2603	3562				1937			655
X	6439	15618	327	483			640	656	731
Z	4247	12604				897			312
Z	5343	22331				951			291
X	12878	13837	702	748			1144	958	1330
W	8357	9316	421	891		420	613	530	814
Z	274	22879				300			99
Y	20961	19180	378	1339	741	608	978	1660	529
Y	4384	11919	252	1061	555	373	525	777	380
Z	8905	11919				1712			679
Z	14796	22331				1515			469
W	5343	6439	692	1212		607	983	882	991
Z	22879	25893				1423			487
W	7398	8494	426	797		434	652	693	696
Y	5206	7124	458	1537	912	577	997	1561	628
Y	9042	12878	424	1518	757	445	922	1360	423
Z	16851	26030				1055			323
Y	2466	7535	413	1339	700	415	1080	1636	444
Z	959	20961				326			120
Z	14522	22057				1230			390
Y	8494	14933	376	1385	950	562	670	1278	380
Y	3836	6028	422	1657	761	567	698	1510	560
Z	20413	26715				966			313
Z	20961	22468				1385			465
Z	3151	20687				637			312
Z	23838	24660				1926			634
Z	13837	19865				1279			431
Z	14385	20276				1340			472
W	2329	2466	399	935		448	741	901	920
Z	8357	21098				586			248
Y	9727	18221	267	951	470	383	469	837	313
Y	8083	10275	423	1688	960	668	995	1533	569
Z	5069	19865				669			297
X	6439	10138	876	990			1231	1335	1748
Z	137	548				1725			592
Z	9316	26304				527			204
Z	2466	16714				1219			403
W	1781	8768	188	302		176	251	242	276
Y	20276	20139	519	1800	1176	791	1290	2132	638
Z	1918	23290				694			223
Z	14248	17125				1457			512
Z	16988	25208				984			419
Z	8631	23153				800			265
X	5891	13974	523	672			1263	1005	1225
Z	2329	5343				1137			454
W	4658	6850	443	905		576	902	906	1066
Z	4658	17262				1124			432
Z	14659	18495				1524			512
Z	8357	19180				831			276
Z	19591	24386				1035			397
Z	5069	18495				1147			341
W	2603	6028	320	620		387	528	520	600
Z	16577	18769				1186			394
Z	6576	11919				1082			389
Z	16440	23838				1577			511
Z	822	4932				1276			535
Z	2877	14522				1252			399
Z	548	21509				275			96
Z	9864	27263				535			172
Y	5206	17947	232	824	457	293	485	802	261
Z	548	25071				535			144
Y	2877	4384	256	1157	677	382	762	1395	372
Z	6302	18906				807			357
W	2055	5617	420	635		528	605	587	599
Z	5891	11371				1299			500
Y	17947	16851	293	1072	545	479	602	999	419
Z	4658	9727				1777			586
Y	10549	20550	350	1149	593	430	871	1420	415
Y	822	16988	94	399	185	125	164	319	116
Z	1233	23838				700			241
Z	11919	13289				1637			561
X	3014	13837	364	433			582	723	756
Z	11645	18358				1363			384
Y	9453	15618	335	1415	762	524	863	1521	603
Z	6713	19865				572			278
Y	2740	3014	390	1552	593	584	764	1585	478
X	0	10549	404	423			663	649	746
Z	10001	20413				1148			314
Y	18632	17399	263	1161	536	391	568	1107	338
Z	11097	24386				729			245
Z	822	17810				623			186
Z	9042	12467				1314			468
Z	10275	12193				1525			604
W	1233	9179	183	351		185	339	360	269
Z	3562	15618				811			337
X	3973	11097	541	768			939	1003	1044
Y	3288	16851	163	780	358	210	438	689	358
X	11097	15618	685	690			1016	1091	1439
Y	16029	14796	446	1424	844	551	786	1398	554
Y	3288	8905	407	1496	599	471	798	1349	500
Z	6028	14659				1253			523
Y	12878	21646	312	1073	589	390	513	1006	306
Z	274	10960				895			421
Y	13837	18632	313	1618	789	427	800	1754	487
Z	6713	23564				710			219
Z	1781	2603				2229			637
X	4110	5617	697	1032			1361	1588	1817
Z	11508	13426				1847			564
Z	1096	20413				372			147
X	959	11097	535	439			889	783	941
Y	2603	9179	349	1361	649	499	578	1304	503
Z	411	23838				539			158
Z	22194	23016				1237			396
Z	2466	18221				681			239
Y	6302	12193	434	1400	916	558	968	1331	562
Z	14385	15344				1962			581
X	411	10275	315	377			548	529	821
Y	9590	17125	279	1070	686	428	698	1086	412
Y	3699	21235	82	394	173	140	226	254	94
Z	12056	14796				1986			677
X	2329	3562	684	883			1254	1039	1472
Y	11508	13837	333	1533	899	508	783	1240	529
Y	2329	15070	267	915	364	365	469	723	317
Z	12604	19728				858			302
Z	6987	18906				867			288
Z	11919	16440				1511			465
X	1644	15207	114	301			407	373	611
Z	12467	18769				1040			338
Z	4110	10001				1557			668
Z	8357	14659				1484			443
Y	16303	14659	341	1486	872	563	780	1461	475
Z	11782	13426				1776			658
X	2055	5069	601	682			894	1118	970
Z	14933	23838				1072			335
Y	274	3836	422	1498	804	469	622	1167	490
X	5206	7946	799	1001			1364	1527	1928
Y	411	18495	112	429	295	179	206	315	130
Z	411	21920				297			137
Z	6987	18084				1194			221
Z	14796	18632				1498			440
Y	13015	18906	304	1296	503	485	809	1321	424
Y	959	12330	165	773	353	276	498	680	231
Y	1096	15207	194	579	283	187	265	569	229
Z	7261	20002				624			209
Y	1370	14796	201	767	429	277	462	690	244
X	5069	16029	294	259			486	433	540
Z	3973	5069				2232			642
X	13974	15344	626	787			1010	1236	1175
Z	16440	26030				1193			377
W	2466	6713	477	726		330	702	692	540
Z	8220	16577				1286			483
Z	25208	26578				1342			496
Z	10275	24112				905			251
Z	23975	25756				1424			476
Z	7124	19043				575			224
W	411	7398	266	471		299	418	624	500
Y	11508	16440	381	1450	622	521	652	1262	495
Z	1370	14659				898			430
X	4658	14385	449	413			618	655	986
Y	3699	19043	128	649	320	245	388	763	200
Y	2466	4521	302	1131	581	434	654	1359	424
W	3836	7809	395	572		392	577	625	661
Z	4247	23427				472			180
Z	10138	21783				1035			347
Y	4932	11508	272	1055	466	352	679	1152	334
Z	20550	25619				1166			453
Y	2740	7809	425	1227	706	478	780	1139	456
Y	3562	8494	397	1473	731	499	984	1159	426
Z	13015	16988				1153			507
W	274	4521	297	744		402	621	696	697
Y	2192	15207	240	864	368	382	526	771	270
Z	548	24797				468			188
X	5480	5891	1331	1458		1044	2359	2298	2073
Z	3699	11234				1498			450
X	7398	15755	442	487			735	852	943
Z	274	15618				1165			415
W	137	6713	388	625		301	517	646	654
Y	4247	5754	515	1671	1019	616	955	1579	555
Z	8631	10686				1708			513
Y	9316	13563	336	1407	741	459	861	1106	610
Z	6713	26852				729			180
Y	13974	19043	329	1651	710	550	791	1321	564
Y	2055	6302	396	1882	683	626	820	1343	653
Z	15481	21098				1073			391
Z	6028	16166				1019			287
Y	21098	17262	303	1274	655	504	751	1484	473
Y	2877	13837	184	580	396	258	536	663	274
Y	21783	15892	236	1200	520	374	653	926	361
X	7809	16303	340	304				511	728
W	411	6028	386	467		239	376	406	467
Y	8083	20139	350	1011	570	359	506	1082	286
Z	23153	26167				1168			509
X	959	12056	348	413			664	660	732
X	3973	11234	600	728			877	803	1244
Y	19317	18084	422	1580	824	619	816	1210	497
Y	3973	7124	381	1534	744	710	839	1393	465
Y	1781	20413	137	639	323	248	302	483	177
Y	13152	19043	354	1317	600	589	716	1404	379
Z	22194	25893				1254			427
Z	4384	8905				1461			462
X	2877	6576	669	790			1161	1135	1403
Z	6439	10960				1365			599
Z	13152	22057				954			302
X	7535	9590	626	740			1124	1047	1144
W	8357	8631	545	1031		499	773	741	716
Z	411	7672				1536			523
X	4795	12604	567	577			901	1047	823
Z	9864	16714				1454			334
Y	19454	17947	364	1536	765	558	837	1304	419
Z	9453	19180				988			336
Z	685	26578				520			163
Z	6850	18358				751			208
Y	6576	8768	455	2088	1083	726	1070	2122	624
Z	5754	16029				997			370
X	13974	16166	484	568			875	866	1014
Z	1096	5754				1471			471
Z	11782	13289				2122			589
X	3973	16166	249	422			383	401	830
Y	4795	14248	309	1342	464	421	714	1001	434
X	3288	7535	608	772			934	1011	939
X	3699	15207	230	233			330	459	521
Z	12878	25208				1010			321
Y	7261	13974	329	1250	518	440	796	1279	449
Y	13426	13700	573	2277	872	628	1226	1732	764
W	2740	5206	381	781		429	544	690	817
Z	17947	20961				1200			354
X	2877	15618	148	166			306	318	329
Z	1781	12467				1045			418
Y	11919	19180	321	1087	532	346	561	1553	405
Z	12330	23290				1175			330
Y	2603	10686	306	1041	571	394	730	1117	374
X	10275	12878	531	886			1270	1156	1383
X	6576	11234	721	849			1546	1444	1826
Z	1918	8494				1344			452
W	6987	9179	534	823		566	757	777	886
Z	4384	5069				1704			638
Y	3699	5754	404	1749	942	553	1017	1703	569
Z	5343	11508				1487			537
Z	2877	8220				1347			536
Z	822	27263				404			120
Z	5206	27126				248			84
Z	7261	15481				1716			522
Z	9453	13700				1316			517
Y	2055	9042	357	1398	707	508	698	1374	424
Z	9590	11919				1392			632
X	5754	7946	832	1092			1579	1453	1720
W	3288	10412	242	448		229	520	468	447
X	8494	11234	707	834			892	1069	1033
X	1644	13837	299	221			358	351	379
W	3699	5069	665	964		463	925	663	802
Y	1507	15070	268	838	410	349	404	678	243
Y	1096	9316	241	998	432	312	493	809	301
Y	2603	3699	348	1130	559	494	670	1055	437
Z	10686	15481				1487			512
X	411	12330	318	297				591	515
Y	12056	18084	292	923	683	432	472	859	371
X	7672	8220	623	704			1415	1315	1427
Z	26167	26167				1630			432
Y	2055	17262	216	503	275	210	301	499	227
X	6028	10001	913	894			1421	1633	2041
Y	1370	2192	307	1440	673	507	794	1135	514
Z	7809	21372				685			289
Z	1370	23427				803			216
Z	14659	19043				1517			380
Z	6713	20139				643			199
Z	9179	18906				1089			427
Y	10138	11234	492	1630	1081	619	1015	1580	598
Y	2329	6165	336	1446	715	457	742	1452	448
Y	11919	16440	356	1534	726	552	739	1398	443
X	8357	9590	839	941			1377	1555	1548
Y	2192	2877	369	1425	644	491	862	1612	473
X	7809	7809	841	986		597	1312	1372	1245
Z	11097	20550				1209			310
X	6165	8357	786	1320			1539	1572	1713
Z	7261	24112				1128			345
X	2877	15892	118	159			210	259	274
Y	14522	14659	472	2225	1022	665	1162	1506	676
Y	959	14385	227	791	430	320	475	609	263
Y	10686	17673	245	942	418	321	539	1030	322
Z	20002	21646				1229			409
Y	4521	16029	158	636	291	242	357	644	339
Z	685	17399				624			243
Z	137	12741				1006			459
W	5206	8357	288	661		341	486	481	468
Y	5891	20961	159	644	348	219	353	553	165
Z	18358	25756				1189			343
X	7672	9179	698	711			933	1172	1361
Y	2877	13426	164	702	352	246	360	772	275
Z	12878	14796				1392			503
Z	3151	8631				1389			547
Z	6028	14522				1282			456
W	548	5343	382	648		400	586	749	628
Y	3836	5206	408	1661	803	570	954	1205	564
Z	22879	22879				1820			578
Z	3836	14933				1372			455
W	7946	8905	421	737		422	532	596	606
Y	8494	18358	208	875	502	279	506	806	271
Y	9453	19317	234	982	432	317	508	881	366
Z	7672	26030				468			182
Y	4247	18632	177	907	399	293	479	786	233
Y	1918	9453	313	1246	765	450	782	1073	490
W	9453	10138	688	1260		687	1082	1100	981
Z	10960	19454				1346			401
Z	15892	19180				1233			379
Z	3699	7672				966			512
X	2192	16029	124	318			214	201	289
Z	16303	26441				1112			434
W	1918	4932	329	708		502	490	578	715
W	1644	10686	189	381		156	296	302	316
X	12741	13152	692	838			1188	1182	1768
Y	5754	14111	303	1375	684	606	821	1311	506
W	3151	9864	253	504		297	317	343	537
Y	21646	19591	375	1446	685	510	787	1501	467
W	411	2603	520	714		405	708	752	788
X	4795	11508	571	934			987	968	1167
Z	5617	26578				327			112
Z	10001	11508				1845			537
Y	2329	4658	315	1094	586	413	659	1041	329
Z	6302	12056				1390			462
Z	11508	14111				1749			664
Y	21783	19865		1946	897	573	853	1564	616
X	7672	15207	493	629			663	925	711
X	3014	14659	205	315			442	401	591
X	685	3425	554	666			1115	1072	1261
Z	1918	7398				1576			489
Y	411	4795	426	1354	549	495	564	1206	441
X	5069	12878	428	554			736	708	921
Z	548	22605				338			102
Z	20276	23975				910			303
Y	18084	16988	241	980	618	350	525	1032	342
Z	3973	19591				778			283
Z	13152	18632				1012			377
Y	3836	7398	324	1445	653	478	887	1557	487
Z	17536	25345				1281			452
X	7261	16166	345	492			756	845	759
X	6576	16303	376	431				684	905
X	548	8220	307	413			809	565	737
Z	8357	19454				696			287
Z	1096	25071				425			182
W	1370	8905	130	274		120	347	218	185
Y	3836	18906	212	881	368	223	373	679	220
W	959	5754	241	574		270	449	483	379
X	5206	15344	296	330			479	688	801
Z	14933	16029				1954			746
Z	13289	23290				923			303
Z	11508	22468				1152			326
Y	3699	13700	277	1122	603	411	647	818	370
W	6028	9864	415	736		369	656	704	675
Z	1233	13700				1096			316
Z	2192	18084				629			228
W	2329	10001	206	542		348	499	370	458
X	12741	13015	913	782			1308	1308	1608
Y	10686	18084	280	926	546	322	523	779	240
Z	4247	20276				826			262
W	1096	5206	293	833		432	615	584	575
Y	0	16029		452	214	189	209	501	197
Y	4795	6165	453	1778	930	577	856	1669	563
X	4384	4658	1000	1415		795	1799	1821	2382
Y	4521	15070	200	802	358	295	455	693	230
Y	3151	4384	304	1431	694	498	835	1258	432
Z	3425	6165				1640			605
Z	13700	27263				693			241
Z	1644	22742				646			154
Z	10001	20002				906			409
Z	17125	24112				1114			421
W	4384	10412	347	524		346	736	831	491
Y	12330	15755	442	1320	658	484	751	1344	530
Z	23153	26715				1416			492
Z	7398	13015				1346			500
Y	3151	13563	212	809	423	278	502	741	272
Y	137	3973	411	1441	690	415	607	975	438
W	685	7398	258	544		320	593	697	468
Z	20002	26030				1234			432
X	4932	5754	771	1211			2110	1611	2216
Z	22879	24523				1311			459
Z	18769	20276				1180			396
Y	16851	16029	357	1381	606	497	815	1447	445
Z	4384	12193				1427			498
Z	13289	22331				1128			393
Z	7535	14659				979			399
Z	4932	24797				421			189
Z	411	16440				1091			367
Z	3288	20824				732			222
Y	7535	20824	380	915	510	509	639	1328	381
Z	548	19728				414			130
Y	13152	16988	261	1137	588	402	627	1027	342
X	10960	13152	823	888			1209	1362	1401
Z	2055	20961				448			160
X	1233	6987	478	771			1091	1056	1281
Y	21098	18221	325	1561	748	417	748	1138	514
Y	13837	18221	306	1608	698	539	862	1177	532
Y	6850	9727	547	1961	1031	673	1134	2150	746
Z	13563	17262				1558			516
W	8220	8631	449	830		518	813	756	768
X	3151	3836	757	1200			1470	1392	1847
X	1918	9864	427	474			719	693	802
Z	8083	9042				1469			429
Z	2877	22194				773			249
Z	3425	21783				817			251
W	2603	6850	465	716		415	680	657	588
Y	4247	8083	338	1722	735	487	789	1458	567
Y	9042	10549	515	1744	796	587	1090	2229	693
Y	8083	13152	336	1679	808	610	904	1780	642
X	2329	5069	605	734			910	1125	1185
Y	2877	15892	177	926	445	336	531	783	319
X	1918	2740	808	670			936	1028	1150
X	8494	9179	681	802			1330	1222	1729
Y	20002	16714	268	1195	671	455	631	1235	505
Y	1781	18221	84	393	174	120	164	309	110
Z	15618	16851				1725			749
Z	13289	19728				948			369
Y	6850	7535	636	2473	1054	861	1235	2232	771
Z	7124	19865				563			258
Z	18495	26304				891			271
Y	7809	15481	331	1204	719	470	622	1323	470
Y	12467	21235	315	1287	822	524	723	1039	461
Y	18769	15344	274	1036	604	551	714	1197	450
Z	3973	17536				1047			340
Z	274	20139				365			102
Z	11645	17125				1564			552
W	2466	6987	422	688		398	645	679	612
Z	18906	20961				1278			393
Y	13700	16577	330	1169	600	465	750		498
Y	9864	10138	532	2258	965	696	1060	1911	593
Z	685	7535				1230			476
Y	4521	17262	161	886	319	180	351	540	226
W	2329	6850	395	705		440	638	672	622
Y	0	8631		1097	453	321	455	942	294
Z	1096	25482				208			93
Y	5891	12056	330	1270	593	431	720	1437	449
Z	14385	18221				1750			473
Y	11097	16440	338	1464	659	457	749	1460	590
Z	22194	22742				1532			442
Z	3973	26030				507			192
Z	15070	20139				1095			405
Z	7672	26989				607			244
Y	19865	17810		1708	603	540	886	1322	588
Y	4384	7809	260	1835	715	569	968	1614	537
W	5069	7535	453	925		503	705	708	944
Y	4384	21646	87	531	173	143	183	311	139
Z	2055	18358				574			207
X	7809	10960	617	893			1219	1343	1165
Z	19865	23016				1042			315
Y	8220	16303	246	1041	561	367	552	766	346
Z	14933	19591				1199			483
Y	19865	18084		1659	834	459	871	1503	495
Z	16988	23975				1050			408
Z	9864	25893				767			246
Z	9179	10686				1786			548
Y	6028	15070	257	1159	512	335	589	1117	349
Y	822	20961	41	207	136	55	87	187	82
Z	15070	20276				1289			388
Z	2603	26578				637			172
X	6028	12193	458	513			817	991	1292
W	8357	9453	449	801		420	729	668	693
X	1644	16166	94	226			442	371	406
Y	21235	18221	319	1398	517	504	763	1137	438
W	1370	3836	439	646		407	717	668	546
Y	7261	13015	413	1589	1005	415	905	1554	449
Z	137	16303				874			429
Y	9727	16714	268	1310	582	504	849	1170	588
Z	3014	7672				1228			449
Y	2603	6302	404	1764	678	529	881	1379	472
X	2740	4658	769	787			1166	1252	1465
W	1507	6713	336	763		360	635	600	431
Z	7261	24934				769			241
W	685	3014	413	721		436	776	716	637
Z	4658	26852				311			130
Y	3288	13426	237	772	504	236	602	769	261
Z	5480	7261				1522			444
Z	11097	15207				1417			530
Y	10960	15618	396	1547	761	477	752	1551	542
X	3836	14796	231	344			460	477	525
Y	274	4658	298	1438	679	479	703	971	477
X	3699	15892	167	219			374	344	389
Z	2329	22057				519			115
X	2740	6850	415	645			908	954	1345
W	3425	3836	754	1218		646	1075	931	989
W	5480	7261	595	893		442	864	933	806
X	7809	10823	638	732			1013	1169	1369
Y	1644	4110	290	1145	514	323	687	1132	430
X	4110	4658	836	1076			1865	1597	1783
X	3151	6165	830	993			1660	1754	1918
X	2055	15618	178	308			321	491	488
X	9453	14385	490	621			1117	1202	1313
Z	10138	21098				967			319
Y	5069	14659	261	970	456	306	718	1234	306
Y	1507	2329	359	1376	632	546	750	1472	429
Z	9453	19728				1051			366
Y	18906	18358	335	1551	795	521	745	1478	529
Z	5480	11097				1460			604
X	1096	8357	355	481			725	545	907
X	3836	7124	602	672			1210	1171	1439
X	3836	4247	965	893			1485	1559	1807
X	3425	15207	194	316			389	379	619
Z	7398	14111				1221			417
Y	9042	13837	328	1358	660	370	695	1519	402
Z	16851	23564				1397			568
Z	18358	26715				734			324
Y	7398	14522	334	1628	668	447	822	1602	593
Z	26167	26304				1439			576
W	1370	7124	356	614		311	536	563	518
W	5343	9453	439	757		467	717	699	677
Y	9590	13974	338	1169	806	513	784	1155	487
Z	6713	13152				878			319
Y	12193	18906	264	1149	489	377	589	1110	400
W	8768	10275	402	835		558	678	782	695
Z	6439	24249				520			188
Z	8631	13289				1583			467
Y	7535	9864	505	1990	888	650	944	1798	651
Y	13152	17262	287	1175	511	440	658	1075	304
Y	9590	16851	317	1293	750	476	730	1313	346
Z	25482	25619				1646			446
X	11371	16029	549	708			1060	1119	1478
Y	5480	12741	308	1327	505	493	767	1299	545
X	11234	14933	756	812			1255	1222	1646
Z	9727	14522				1715			509
X	10686	11645	724	1129			1432	1656	2132
Y	11371	11371	480	2057	1169	714	1039	1697	650
Z	2329	17262				678			231
Y	548	15207	139	553	320	191	447	609	220
Z	3973	7124				1123			447
X	12467	13152	682	807			1170	1070	1521
Y	9590	21235	385	1024	742	464	851	1313	328
Z	137	18495				418			138
X	7261	12330	626	845				1017	1254
Z	12604	26441				933			354
X	10412	13289	551	717			1089	1138	1346
Z	12193	12878				1534			516
Y	8083	14796	297	1591	687	463	833	1532	517
Y	1507	17947	87	296	205	138	186	345	145
Z	6302	7946				1218			460
Z	2329	2603				2113			845
W	5891	10001	370	691		376	634	799	597
Y	6028	13015	399	1721	843	506	856	1527	498
Y	2329	3699	278	1395	716	510	608	1039	397
Y	7124	10275	478	1882	915	760	1147	1872	792
Y	11782	13015	372	1561	948	561	932	1314	548
Z	7672	19180				670			229
Z	3151	14796				1207			519
Y	17536	14659	319	1268	636	400	732	1293	354
Y	3699	4247	284	1979	767	658	1052	1530	549
Z	0	27263				577			125
W	1233	5206	374	789		360	532	562	587
X	7535	14248	337	411			936	664	927
Z	6713	9453				1409			445
Z	6165	22742				639			299
Z	0	26852				364			120
Z	12193	12330				1484			501
Z	18632	24934				877			292
W	5069	10275	365	920		415	665	790	685
Z	5480	22742				698			253
Y	15755	15207	407	1703	900	676	952	1379	669
Z	8083	21098				516			206
Z	24386	24386				1793			561
Y	8220	18221	331	928	544	373	651	1170	344
Y	14522	17399	350	1528	766	443	702	1206	442
Y	4521	13426	289	1270	568	529	679	1131	405
Y	5891	10138	402	1554	735	517	682	1286	453
Z	3288	25756				629			241
Y	274	1918	285	1075	574	467	957	1402	465
X	4658	11919	391	564			1212	851	1059
Z	9453	14111				1478			596
Z	6165	15618				1007			432
W	548	3151	404	721		479	519	649	766
Z	3973	18495				1246			370
Z	7261	12193				1242			408
W	2603	7261	353	589		335	523	578	611
Z	19728	22468				1156			481
Y	9590	13289	396	1477	760	494	721	1314	451
X	11645	14796	622	598			1293	1184	1269
X	6987	12193	626	840			1062	1211	1198
Z	7672	23290				690			284
Z	11371	16577				1524			460
X	12330	16166	563	629				999	1280
Y	10275	19180	228	951	502	347	555	1021	321
Y	7946	11508	495	1435	961	699	770	1467	431
Z	4247	10823				1457			495
Z	1781	10686				1202			483
Z	17673	21235				1219			414
Y	2740	3151	337	1423	756	559	1086	1226	488
X	5206	9453	882	858			1224	1360	1709
Z	10412	21783				936			330
Z	137	20413				322			115
Y	8905	14111	350	1321	634	434	717	1450	463
X	1233	7124	575	867			981	903	1222
Y	8220	21509	177	751	409	232	377	957	224
Z	9316	24386				644			207
X	7124	14522	488	843			1033	998	1028
X	822	6302	470	803			1003	996	846
Y	2740	16166	206	733	350	287	362	851	256
Z	5206	7672				1276			440
Z	6576	8220				1421			552
Y	411	18358	121	530	305	199	182	279	207
Y	4384	8905	356	1088	591	402	717	1082	392
Z	5617	24112				503			195
Z	16988	22605				1608			421
Z	2740	25071				738			200
Y	7535	7672	570	2005	1245	794	1334	2236	926
Z	7124	18358				862			265
Z	6987	24797				1096			319
X	1507	12467	403	479			729	682	497
Z	4932	22742				765			263
